id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code
27526,YDPD,small_airport,Davenport Downs Airport,-24.149999618530277,141.10800170898438,95.0,OC,AU,AU-QLD,Unknown,no,DVP
26975,YDPO,medium_airport,Devonport Airport,-41.1697006226,146.429992676,33.0,OC,AU,AU-TAS,Devonport,yes,DPO
27529,YDRA,small_airport,Dongara Airport,-29.298128,114.927334,876.3950140449438,OC,AU,AU-WA,Port Denison,no,DOX
27530,YDRD,small_airport,Drysdale River Airport,-15.71357,126.381097,360.0,OC,AU,AU-WA,Drysdale River,no,DRY
27531,YDRH,small_airport,Durham Downs Airport,-27.075000762939453,141.89999389648438,116.0,OC,AU,AU-QLD,Unknown,no,DHD
27532,YDRI,small_airport,Durrie Airport,-25.684999465942383,140.22799682617188,58.0,OC,AU,AU-QLD,Unknown,no,DRR
27534,YDUN,small_airport,Dunwich Airport,-27.519005,153.427618,260.0,OC,AU,AU-QLD,North Stradbroke Island,no,SRR
27535,YDVR,small_airport,Docker River Airport,-24.859533,129.122209,589.0,OC,AU,AU-NT,Kaltukatjara,no,DKV
26976,YDYS,medium_airport,Dysart Airport,-22.6222,148.363998,670.0,OC,AU,AU-QLD,Unknown,no,DYA
351859,YE-0005,small_airport,Ar Rawdah Airport,14.44872,47.27955,2730.0,AS,YE,YE-SH,Ar Rawdah,no,RXA
26979,YECH,medium_airport,Echuca Airport,-36.15719985961914,144.76199340820312,323.0,OC,AU,AU-VIC,Unknown,no,ECH
27539,YECL,small_airport,Eucla Airport,-31.707084,128.877243,22.0,OC,AU,AU-WA,Unknown,no,EUC
31021,YEDA,small_airport,Etadunna Airport,-28.740801,138.589005,876.3950140449438,OC,AU,AU-SA,Etadunna,no,ETD
31005,YEEB,small_airport,Eneabba Airport,-29.832500457763672,115.24600219726562,876.3950140449438,OC,AU,AU-WA,Eneabba,no,ENB
30996,YEIN,small_airport,Einasleigh Airport,-18.5032997131,144.093994141,876.3950140449438,OC,AU,AU-QLD,Einasleigh,no,EIH
26980,YELD,medium_airport,Elcho Island Airport,-12.019399642899998,135.570999146,101.0,OC,AU,AU-NT,Elcho Island,yes,ELC
38338,YELK,small_airport,Elkedra Airport,-21.1725006104,135.444000244,876.3950140449438,OC,AU,AU-NT,Unknown,no,EKD
26981,YEML,medium_airport,Emerald Airport,-23.5674991608,148.179000854,624.0,OC,AU,AU-QLD,Emerald,yes,EMD
38345,YERL,small_airport,Erldunda Airport,-25.206106,133.254161,876.3950140449438,OC,AU,AU-NT,Ghan,no,EDD
27554,YERN,small_airport,Ernabella Airport,-26.2632999420166,132.1820068359375,707.0,OC,AU,AU-SA,Unknown,no,ERB
318064,YESE,small_airport,Elrose Airport,-20.9764,141.0066,645.0,OC,AU,AU-QLD,Elrose Mine,no,ERQ
